Days since 100,Algeria,Australia,Brazil,Burkina Faso,Chile,China,Egypt,Germany,Iran (Islamic Republic of),Italy,Japan,South Africa,Korea (Republic of),United Kingdom,United States
0.0,102.0,100.0,121.0,0.0,156.0,216.0,110.0,111.0,139.0,132.0,105.0,116.0,155.0,115.0,103.0
1.0,189.0,112.0,200.0,0.0,201.0,235.0,126.0,129.0,245.0,229.0,132.0,150.0,345.0,163.0,125.0
2.0,231.0,126.0,234.0,0.0,238.0,386.0,166.0,157.0,388.0,322.0,144.0,205.0,601.0,206.0,159.0
3.0,0.0,156.0,291.0,0.0,342.0,526.0,196.0,196.0,593.0,400.0,144.0,240.0,762.0,273.0,233.0
4.0,0.0,197.0,428.0,0.0,434.0,623.0,210.0,262.0,978.0,650.0,164.0,274.0,892.0,321.0,338.0
5.0,0.0,249.0,621.0,0.0,537.0,882.0,256.0,400.0,1501.0,888.0,186.0,402.0,1146.0,373.0,433.0
6.0,0.0,298.0,904.0,0.0,632.0,1323.0,285.0,684.0,2336.0,1128.0,210.0,557.0,1595.0,456.0,554.0
7.0,0.0,375.0,1128.0,0.0,746.0,1988.0,294.0,847.0,2922.0,1689.0,230.0,0.0,2022.0,590.0,754.0
8.0,0.0,454.0,1546.0,0.0,922.0,2775.0,327.0,902.0,3513.0,1835.0,239.0,0.0,2931.0,707.0,1025.0
9.0,0.0,565.0,1891.0,0.0,0.0,4528.0,366.0,1139.0,4747.0,2502.0,254.0,0.0,3526.0,1140.0,1312.0
10.0,0.0,709.0,2201.0,0.0,0.0,5994.0,0.0,1296.0,5823.0,3089.0,254.0,0.0,4212.0,1391.0,1663.0
11.0,0.0,874.0,0.0,0.0,0.0,7734.0,0.0,1567.0,6566.0,3858.0,268.0,0.0,4812.0,1543.0,2174.0
12.0,0.0,1098.0,0.0,0.0,0.0,9714.0,0.0,2369.0,7161.0,4636.0,317.0,0.0,5328.0,1950.0,2951.0
13.0,0.0,1709.0,0.0,0.0,0.0,11809.0,0.0,3062.0,8042.0,5883.0,349.0,0.0,5766.0,2630.0,3774.0
14.0,0.0,1823.0,0.0,0.0,0.0,14399.0,0.0,3795.0,9000.0,7375.0,408.0,0.0,6284.0,3277.0,4661.0
15.0,0.0,2423.0,0.0,0.0,0.0,17211.0,0.0,4838.0,10075.0,9172.0,455.0,0.0,6767.0,3983.0,6427.0
16.0,0.0,0.0,0.0,0.0,0.0,20448.0,0.0,6012.0,11364.0,10149.0,488.0,0.0,7134.0,5018.0,9415.0
17.0,0.0,0.0,0.0,0.0,0.0,24320.0,0.0,7156.0,12729.0,12462.0,514.0,0.0,7382.0,5683.0,14250.0
18.0,0.0,0.0,0.0,0.0,0.0,28047.0,0.0,8198.0,13938.0,15113.0,568.0,0.0,7513.0,6650.0,19624.0
19.0,0.0,0.0,0.0,0.0,0.0,31207.0,0.0,14138.0,14991.0,17660.0,619.0,0.0,7755.0,8077.0,26747.0
20.0,0.0,0.0,0.0,0.0,0.0,34625.0,0.0,18187.0,16169.0,17750.0,675.0,0.0,7869.0,0.0,35206.0
21.0,0.0,0.0,0.0,0.0,0.0,37232.0,0.0,21463.0,17361.0,23980.0,737.0,0.0,7979.0,0.0,46442.0
22.0,0.0,0.0,0.0,0.0,0.0,40206.0,0.0,24774.0,18407.0,27980.0,780.0,0.0,8086.0,0.0,55231.0
23.0,0.0,0.0,0.0,0.0,0.0,42696.0,0.0,29212.0,19644.0,31506.0,814.0,0.0,8162.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,44724.0,0.0,31554.0,20610.0,35713.0,824.0,0.0,8236.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,59865.0,0.0,0.0,21638.0,41035.0,829.0,0.0,8320.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,64021.0,0.0,0.0,23049.0,47021.0,873.0,0.0,8413.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,66559.0,0.0,0.0,24811.0,53578.0,950.0,0.0,8565.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,68566.0,0.0,0.0,0.0,59138.0,1007.0,0.0,8652.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0,70618.0,0.0,0.0,0.0,63927.0,1046.0,0.0,8799.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,72508.0,0.0,0.0,0.0,69176.0,1089.0,0.0,8897.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,0.0,74258.0,0.0,0.0,0.0,0.0,1128.0,0.0,8961.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0,74652.0,0.0,0.0,0.0,0.0,1193.0,0.0,9037.0,0.0,0.0
33.0,0.0,0.0,0.0,0.0,0.0,75543.0,0.0,0.0,0.0,0.0,0.0,0.0,9137.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,76369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0,0.0,77016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,77234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0,0.0,0.0,77749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,78159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0,0.0,0.0,78598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,78927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0,79355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.0,0.0,0.0,0.0,0.0,79929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,0.0,0.0,0.0,0.0,80134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.0,0.0,0.0,0.0,0.0,80261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,0.0,0.0,0.0,0.0,0.0,80380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
