Days since 100,China,Japan,United Kingdom,Italy,Germany,Algeria,Egypt,Burkina Faso,South Africa,Brazil,Chile,Australia,US,Iran,"Korea, South"
0,1/22/20,2/21/20,3/5/20,2/23/20,3/1/20,3/21/20,3/14/20,3/24/20,3/18/20,3/13/20,3/16/20,3/10/20,3/3/20,2/26/20,2/20/20
1,548,105,116,155,130,139,109,114,116,151,155,107,118,139,104
2,643,122,164,229,159,201,110,146,150,151,201,128,149,245,204
3,920,147,207,322,196,230,150,152,202,162,238,128,217,388,433
4,1406,159,274,453,262,264,196,180,240,200,238,200,262,593,602
5,2075,170,322,655,482,302,196,207,274,321,434,250,402,978,833
6,2877,189,384,888,670,367,256,,402,372,537,297,518,1501,977
7,5509,214,459,1128,799,409,285,,554,621,632,377,583,2336,1261
8,6087,228,459,1694,1040,454,294,,709,793,746,452,959,2922,1766
9,8141,241,802,2036,1176,,327,,927,1021,922,568,1281,3513,2337
10,9802,256,1144,2502,1457,,366,,1170,1546,1142,681,1663,4747,3150
11,11891,274,1145,3089,1908,,402,,1187,1924,1306,791,2179,5823,3736
12,16630,293,1551,3858,2078,,456,,,2247,1610,1071,2727,6566,4335
13,19716,331,1960,4636,3675,,495,,,2554,1909,1549,3499,7161,5186
14,23707,360,2642,5883,4585,,536,,,2985,,1682,4632,8042,5621
15,27440,420,2716,7375,5795,,576,,,3417,,2044,6421,9000,6088
16,30587,461,4014,9172,7272,,,,,3904,,2364,7783,10075,6593
17,34110,502,5067,10149,9257,,,,,,,2810,13677,11364,7041
18,36814,511,5745,12462,12327,,,,,,,3143,19100,12729,7314
19,39829,581,6726,12462,15320,,,,,,,3640,25489,13938,7478
20,42354,639,8164,17660,19848,,,,,,,,33276,14991,7513
21,44386,639,9640,21157,22213,,,,,,,,43847,16169,7755
22,44759,701,11812,24747,24873,,,,,,,,53740,17361,7869
23,59895,773,14745,27980,29056,,,,,,,,65778,18407,7979
24,66358,839,17312,31506,32986,,,,,,,,83836,19644,8086
25,68413,839,,35713,37323,,,,,,,,101657,20610,8162
26,70513,878,,41035,43938,,,,,,,,121478,21638,8236
27,72434,889,,47021,50871,,,,,,,,,23049,8320
28,74211,924,,53578,57695,,,,,,,,,24811,8413
29,74619,963,,59138,,,,,,,,,,27017,8565
30,75077,1007,,63927,,,,,,,,,,29406,8652
31,75550,1101,,69176,,,,,,,,,,32332,8799
32,77001,1128,,74386,,,,,,,,,,35408,8961
33,77022,1193,,80589,,,,,,,,,,,8961
34,77241,1307,,86498,,,,,,,,,,,9037
35,77754,1387,,92472,,,,,,,,,,,9137
36,78166,1468,,,,,,,,,,,,,9241
37,78600,1693,,,,,,,,,,,,,9332
38,78928,,,,,,,,,,,,,,9478
39,79356,,,,,,,,,,,,,,
40,79932,,,,,,,,,,,,,,
41,80136,,,,,,,,,,,,,,
42,80261,,,,,,,,,,,,,,
43,80386,,,,,,,,,,,,,,
44,80537,,,,,,,,,,,,,,
45,80690,,,,,,,,,,,,,,
46,80770,,,,,,,,,,,,,,
47,80823,,,,,,,,,,,,,,
48,80860,,,,,,,,,,,,,,
49,80887,,,,,,,,,,,,,,
50,80921,,,,,,,,,,,,,,
51,80932,,,,,,,,,,,,,,
52,80945,,,,,,,,,,,,,,
53,80977,,,,,,,,,,,,,,
54,81003,,,,,,,,,,,,,,
55,81033,,,,,,,,,,,,,,
56,81058,,,,,,,,,,,,,,
57,81102,,,,,,,,,,,,,,
58,81156,,,,,,,,,,,,,,
59,81250,,,,,,,,,,,,,,
60,81305,,,,,,,,,,,,,,
61,81435,,,,,,,,,,,,,,
62,81498,,,,,,,,,,,,,,
63,81591,,,,,,,,,,,,,,
64,81661,,,,,,,,,,,,,,
65,81782,,,,,,,,,,,,,,
66,81897,,,,,,,,,,,,,,
67,81999,,,,,,,,,,,,,,
