,Country,"Population, total (millions)",Education Index,Human development index (HDI),Life expectancy at birth,"Population, ages 15â€“64 (millions)","Population, ages 65 and older (millions)","Population, under age 5 (millions)","Population, urban (%)","Unemployment, total (% of labour force)",Gross domestic product (GDP) per capita (2011 PPP $),Mobile phone subscriptions (per 100 people)
0,Afghanistan,37.2,0.413,0.496,64.5,0.543010752688172,0.026881720430107524,0.15053763440860213,25.5,1.5,1735,59.1
1,Albania,2.9,0.758,0.791,78.5,0.6896551724137931,0.13793103448275862,0.06896551724137931,60.3,13.9,12306,94.2
2,Algeria,42.2,0.675,0.759,76.7,0.6350710900473934,0.06398104265402843,0.11848341232227487,72.6,12.2,13886,121.9
3,Andorra,0.1,0.708,0.857,81.8,,,,88.1,,,107.3
4,Angola,30.8,0.498,0.574,60.8,0.5097402597402597,0.022727272727272724,0.1818181818181818,65.5,7.3,5725,43.1
5,Antigua and Barbuda,0.1,0.655,0.776,76.9,1.0,0.0,0.0,24.6,,23768,
6,Argentina,44.4,0.842,0.830,76.5,0.6396396396396397,0.11036036036036037,0.08333333333333334,91.9,9.5,18282,132.1
7,Armenia,3.0,0.759,0.760,74.9,0.6666666666666666,0.09999999999999999,0.06666666666666667,63.1,17.7,9178,121.3
8,Australia,24.9,0.923,0.938,83.3,0.6506024096385542,0.1566265060240964,0.06425702811244981,86.0,5.4,45439,113.6
9,Austria,8.9,0.871,0.914,81.4,0.6629213483146068,0.19101123595505617,0.0449438202247191,58.3,4.8,46473,123.5
10,Azerbaijan,9.9,0.694,0.754,72.9,0.7070707070707071,0.0606060606060606,0.09090909090909091,55.7,5.2,16011,103.9
11,Bahamas,0.4,0.741,0.805,73.8,0.7499999999999999,0.0,0.0,83.0,11.9,28705,99
12,Bahrain,1.6,0.738,0.838,77.2,0.7499999999999999,0.0,0.0625,89.3,1.0,41973,133.3
13,Bangladesh,161.4,0.513,0.614,72.3,0.671003717472119,0.051425030978934326,0.08983890954151177,36.6,4.3,3879,97.3
14,Barbados,0.3,0.773,0.813,79.1,0.6666666666666667,0.0,0.0,31.1,9.6,16839,122.6
15,Belarus,9.5,0.837,0.817,74.6,0.6842105263157895,0.14736842105263157,0.06315789473684211,78.6,5.7,17742,122.9
16,Belgium,11.5,0.893,0.919,81.5,0.6434782608695653,0.19130434782608696,0.05217391304347826,98.0,6.3,43218,103.4
17,Belize,0.4,0.691,0.720,74.5,0.5,0.0,0.0,45.7,9.4,7810,85.5
18,Benin,11.5,0.476,0.520,61.5,0.5391304347826087,0.034782608695652174,0.1565217391304348,47.3,2.1,2152,82.4
19,Bhutan,0.8,0.441,0.617,71.5,0.625,0.0,0.125,40.9,2.2,9348,93.3
20,Bolivia (Plurinational State of),11.4,0.690,0.703,71.2,0.6140350877192983,0.07017543859649122,0.10526315789473684,69.4,3.3,6986,100.8
21,Bosnia and Herzegovina,3.3,0.706,0.769,77.3,0.6969696969696969,0.15151515151515152,0.030303030303030307,48.2,20.8,12756,104.1
22,Botswana,2.3,0.664,0.728,69.3,0.6086956521739131,0.04347826086956522,0.13043478260869565,69.4,17.9,16518,150
23,Brazil,209.5,0.689,0.761,75.7,0.6973747016706444,0.08926014319809068,0.07016706443914081,86.6,12.5,14283,98.8
24,Brunei Darussalam,0.4,0.703,0.845,75.7,0.7499999999999999,0.0,0.0,77.6,9.2,71802,131.9
25,Bulgaria,7.1,0.805,0.816,74.9,0.6338028169014085,0.21126760563380284,0.04225352112676056,75.0,5.3,19321,118.1
26,Burkina Faso,19.8,0.300,0.434,61.2,0.5252525252525253,0.025252525252525252,0.16666666666666666,29.4,6.1,1756,97.9
27,Burundi,11.2,0.418,0.423,61.2,0.5178571428571429,0.026785714285714288,0.17857142857142858,13.0,1.5,660,56.5
28,Cabo Verde,0.5,0.538,0.651,72.8,0.8,0.0,0.2,65.7,12.3,6662,112.2
29,Cambodia,16.3,0.476,0.581,69.6,0.6380368098159509,0.042944785276073615,0.11042944785276074,23.4,1.1,3870,119.5
30,Cameroon,25.2,0.564,0.563,58.9,0.5476190476190477,0.027777777777777776,0.15873015873015872,56.4,3.4,3352,69.1
31,Canada,37.1,0.891,0.922,82.3,0.6684636118598383,0.1725067385444744,0.053908355795148244,81.4,5.9,44051,89.2
32,Central African Republic,4.7,0.353,0.381,52.8,0.5319148936170213,0.02127659574468085,0.14893617021276595,41.4,6.5,775,27.7
33,Chad,15.5,0.288,0.401,54.0,0.5032258064516129,0.025806451612903226,0.18064516129032257,23.1,2.2,1746,45.1
34,Chile,18.7,0.807,0.847,80.0,0.6898395721925135,0.11764705882352942,0.06417112299465241,87.6,7.2,22874,134.4
