Country,"Population, total (millions)",Education Index,Human development index (HDI),Life expectancy at birth,"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, under age 5 (millions)","Population, urban (%)","Unemployment, total (% of labour force)",Gross domestic product (GDP) per capita (2011 PPP $)
China,1427.6,0.649,0.758,76.7,1016.5,155.9,85.9,59.2,4.4,16187
Japan,127.2,0.850,0.915,84.5,76.0,35.1,5.1,91.6,2.5,39294
United Kingdom,67.1,0.916,0.920,81.2,42.9,12.4,4.0,83.4,4.0,40158
United States,327.1,0.899,0.920,78.9,214.2,51.7,19.5,82.3,3.9,55681
Italy,60.6,0.793,0.883,83.4,38.8,13.8,2.4,70.4,10.2,35739
Germany,83.1,0.946,0.939,81.2,54.0,17.8,3.9,77.3,3.4,45959
Algeria,42.2,0.675,0.759,76.7,26.8,2.7,5.0,72.6,12.2,13886
Egypt,98.4,0.608,0.700,71.8,60.0,5.1,13.0,42.7,11.4,11014
Burkina Faso,19.8,0.300,0.434,61.2,10.4,0.5,3.3,29.4,6.1,1756
South Africa,57.8,0.721,0.705,63.9,37.9,3.1,5.8,66.4,27.0,12143
Brazil,209.5,0.689,0.761,75.7,146.1,18.7,14.7,86.6,12.5,14283
Chile,18.7,0.807,0.847,80.0,12.9,2.2,1.2,87.6,7.2,22874
Australia,24.9,0.923,0.938,83.3,16.2,3.9,1.6,86.0,5.4,45439
