area_name,indicator_name,score_2019
Afghanistan,15-60 mortality,0.328881239
Albania,15-60 mortality,0.047608631
Algeria,15-60 mortality,0.070064243
Angola,15-60 mortality,0.209413895
Argentina,15-60 mortality,0.676894628
Armenia,15-60 mortality,0.539176471
Australia,15-60 mortality,0.93684
Austria,15-60 mortality,0.415815891
Azerbaijan,15-60 mortality,0.503762484
Bahrain,15-60 mortality,0.553739929
Bangladesh,15-60 mortality,0.840547451
Belarus,15-60 mortality,0.001199998
Belgium,15-60 mortality,0.887813953
Belize,15-60 mortality,0.287537074
Benin,15-60 mortality,0.690345928
Bolivia,15-60 mortality,0.277515131
Bosnia and Herzegovina,15-60 mortality,0.450707857
Botswana,15-60 mortality,0
Brazil,15-60 mortality,0.287668196
Bulgaria,15-60 mortality,0.146763992
Burkina Faso,15-60 mortality,0.251384502
Burundi,15-60 mortality,0.374470055
Cabo Verde,15-60 mortality,0.192940476
Cambodia,15-60 mortality,0.033103448
Cameroon,15-60 mortality,0.020514012
Canada,15-60 mortality,0.570627778
Central African Republic,15-60 mortality,0.15638158
Chad,15-60 mortality,0.598479103
Chile,15-60 mortality,0.1675
China,15-60 mortality,0.3821463
Colombia,15-60 mortality,0.154086395
Comoros,15-60 mortality,0.495155106
Congo,15-60 mortality,0
Costa Rica,15-60 mortality,0.203412867
Croatia,15-60 mortality,0.402858282
Cuba,15-60 mortality,0.094558564
Cyprus,15-60 mortality,0.099921398
Czechia,15-60 mortality,0.04
C�te d'Ivoire,15-60 mortality,0.49340882
Democratic Republic of Congo,15-60 mortality,0.24225
Denmark,15-60 mortality,0.556741035
Djibouti,15-60 mortality,0.391735138
Dominican Republic,15-60 mortality,0.465960393
Ecuador,15-60 mortality,0.111111111
Egypt,15-60 mortality,0.390367685
El Salvador,15-60 mortality,0.111111111
Equatorial Guinea,15-60 mortality,0.4198407
Eritrea,15-60 mortality,0.9005
Estonia,15-60 mortality,0
Eswatini,15-60 mortality,0.444444444
Ethiopia,15-60 mortality,0.441415607
Finland,15-60 mortality,0.378812433
France,15-60 mortality,0.989583333
Gabon,15-60 mortality,0.544031805
Georgia,15-60 mortality,0.510745889
Germany,15-60 mortality,0.44774911
Ghana,15-60 mortality,0.427731216
Greece,15-60 mortality,0.321631601
Guatemala,15-60 mortality,0.482687996
Guinea,15-60 mortality,0.296296296
Guinea-Bissau,15-60 mortality,0.3367867
Guyana,15-60 mortality,0.287176389
Haiti,15-60 mortality,0.222222222
Honduras,15-60 mortality,0.2348754
Hong Kong,15-60 mortality,0.222222222
