date,covid 19,corona,coronavirus,isPartial
2020-03-06,1,9,19,False
2020-03-07,1,8,17,False
2020-03-08,1,7,17,False
2020-03-09,1,9,22,False
2020-03-10,1,9,22,False
2020-03-11,1,12,23,False
2020-03-12,4,24,47,False
2020-03-13,4,26,51,False
2020-03-14,5,26,59,False
2020-03-15,7,41,92,False
2020-03-16,7,40,86,False
2020-03-17,10,37,77,False
2020-03-18,10,41,90,False
2020-03-19,12,41,87,False
2020-03-20,16,36,83,False
2020-03-21,18,37,89,False
2020-03-22,15,42,100,False
2020-03-23,17,36,81,False
2020-03-24,16,26,65,False
