date,covid 19,corona,coronavirus,isPartial
2020-02-01,0,5,16,False
2020-02-02,0,4,14,False
2020-02-03,0,4,12,False
2020-02-04,0,3,12,False
2020-02-05,0,3,11,False
2020-02-06,0,3,11,False
2020-02-07,0,4,12,False
2020-02-08,0,3,11,False
2020-02-09,0,3,9,False
2020-02-10,0,3,10,False
2020-02-11,0,3,9,False
2020-02-12,0,3,9,False
2020-02-13,0,3,10,False
2020-02-14,0,3,8,False
2020-02-15,0,2,7,False
2020-02-16,0,2,7,False
2020-02-17,0,2,6,False
2020-02-18,0,2,6,False
2020-02-19,0,2,5,False
2020-02-20,0,2,5,False
2020-02-21,0,2,6,False
2020-02-22,0,2,7,False
2020-02-23,0,2,8,False
2020-02-24,0,3,11,False
2020-02-25,0,4,12,False
2020-02-26,1,4,15,False
2020-02-27,1,5,18,False
2020-02-28,1,5,17,False
2020-02-29,1,5,17,False
2020-03-01,1,6,20,False
2020-03-02,1,7,23,False
2020-03-03,1,8,27,False
2020-03-04,1,9,30,False
2020-03-05,1,9,29,False
2020-03-06,1,8,26,False
2020-03-07,1,7,25,False
2020-03-08,2,8,27,False
2020-03-09,2,9,31,False
2020-03-10,2,11,37,False
2020-03-11,3,13,41,False
2020-03-12,5,21,63,False
2020-03-13,7,24,74,False
2020-03-14,7,22,69,False
2020-03-15,10,26,80,False
2020-03-16,12,28,83,False
2020-03-17,13,28,82,False
2020-03-18,12,24,70,False
2020-03-19,12,23,67,False
2020-03-20,13,24,69,False
2020-03-21,15,26,76,False
2020-03-22,21,36,100,False
2020-03-23,20,29,85,False
2020-03-24,20,28,81,False
