date,covid 19,corona,coronavirus,isPartial
2020-02-01,0,1,3,False
2020-02-02,0,1,3,False
2020-02-03,0,0,3,False
2020-02-04,0,1,5,False
2020-02-05,0,1,6,False
2020-02-06,0,2,8,False
2020-02-07,0,2,13,False
2020-02-08,0,4,5,False
2020-02-09,0,2,5,False
2020-02-10,0,1,8,False
2020-02-11,0,1,6,False
2020-02-12,0,3,5,False
2020-02-13,0,3,8,False
2020-02-14,0,3,4,False
2020-02-15,0,3,6,False
2020-02-16,0,1,3,False
2020-02-17,0,3,3,False
2020-02-18,0,1,4,False
2020-02-19,0,0,4,False
2020-02-20,1,3,3,False
2020-02-21,0,0,1,False
2020-02-22,0,0,3,False
2020-02-23,1,1,4,False
2020-02-24,0,3,4,False
2020-02-25,0,3,5,False
2020-02-26,0,2,4,False
2020-02-27,2,3,4,False
2020-02-28,0,2,10,False
2020-02-29,0,2,8,False
2020-03-01,0,3,5,False
2020-03-02,1,4,9,False
2020-03-03,1,4,8,False
2020-03-04,1,2,5,False
2020-03-05,0,3,5,False
2020-03-06,0,3,8,False
2020-03-07,1,5,11,False
2020-03-08,1,4,11,False
2020-03-09,1,10,34,False
2020-03-10,2,16,53,False
2020-03-11,2,7,32,False
2020-03-12,2,6,28,False
2020-03-13,2,15,34,False
2020-03-14,5,14,46,False
2020-03-15,7,18,51,False
2020-03-16,10,30,68,False
2020-03-17,10,19,62,False
2020-03-18,15,37,99,False
2020-03-19,14,28,86,False
2020-03-20,10,33,78,False
2020-03-21,18,36,99,False
2020-03-22,17,21,74,False
2020-03-23,22,27,100,False
2020-03-24,26,26,82,False
