date,covid 19,corona,coronavirus,isPartial
2020-02-25,0,3,12,False
2020-02-26,0,3,15,False
2020-02-27,0,3,15,False
2020-02-28,0,3,12,False
2020-02-29,0,3,15,False
2020-03-01,0,2,8,False
2020-03-02,0,2,7,False
2020-03-03,1,6,31,False
2020-03-04,1,5,22,False
2020-03-05,1,4,18,False
2020-03-06,0,3,11,False
2020-03-07,0,3,10,False
2020-03-08,0,2,10,False
2020-03-09,0,2,11,False
2020-03-10,1,3,15,False
2020-03-11,1,4,19,False
2020-03-12,1,6,32,False
2020-03-13,2,8,41,False
2020-03-14,2,11,54,False
2020-03-15,5,16,83,False
2020-03-16,6,19,100,False
2020-03-17,5,15,79,False
2020-03-18,6,14,78,False
2020-03-19,7,11,66,False
2020-03-20,12,11,65,False
2020-03-21,12,12,69,False
2020-03-22,12,11,66,False
2020-03-23,13,9,51,False
2020-03-24,12,9,51,False
