date,covid 19,corona,coronavirus,isPartial
2020-03-06,3,9,55,False
2020-03-07,3,12,46,False
2020-03-08,8,18,70,False
2020-03-09,2,17,61,False
2020-03-10,7,15,53,False
2020-03-11,6,10,70,False
2020-03-12,4,18,79,False
2020-03-13,6,15,89,False
2020-03-14,6,29,93,False
2020-03-15,9,28,100,False
2020-03-16,9,27,69,False
2020-03-17,7,16,73,False
2020-03-18,16,18,78,False
2020-03-19,6,24,81,False
2020-03-20,11,20,78,False
2020-03-21,8,16,81,False
2020-03-22,12,27,86,False
2020-03-23,12,21,90,False
2020-03-24,12,21,84,False
