date,covid 19,corona,coronavirus,isPartial
2020-02-25,1,11,14,False
2020-02-26,0,10,17,False
2020-02-27,1,15,20,False
2020-02-28,1,16,23,False
2020-02-29,1,17,25,False
2020-03-01,1,21,26,False
2020-03-02,3,24,29,False
2020-03-03,1,19,25,False
2020-03-04,1,21,24,False
2020-03-05,2,16,23,False
2020-03-06,2,17,26,False
2020-03-07,2,18,24,False
2020-03-08,2,26,37,False
2020-03-09,2,36,51,False
2020-03-10,4,28,45,False
2020-03-11,4,32,45,False
2020-03-12,4,37,54,False
2020-03-13,7,52,62,False
2020-03-14,10,60,72,False
2020-03-15,13,75,100,False
2020-03-16,11,76,98,False
2020-03-17,14,76,73,False
2020-03-18,16,69,74,False
2020-03-19,17,66,73,False
2020-03-20,37,71,89,False
2020-03-21,29,72,98,False
2020-03-22,25,81,99,False
2020-03-23,24,64,89,False
2020-03-24,17,55,76,False
