date,covid 19,corona,coronavirus,isPartial
2020-02-25,1,19,92,False
2020-02-26,1,15,72,False
2020-02-27,0,11,59,False
2020-02-28,0,9,51,False
2020-02-29,0,9,52,False
2020-03-01,1,9,48,False
2020-03-02,1,8,49,False
2020-03-03,1,9,50,False
2020-03-04,1,13,73,False
2020-03-05,1,11,65,False
2020-03-06,1,11,68,False
2020-03-07,2,14,86,False
2020-03-08,2,15,92,False
2020-03-09,2,16,100,False
2020-03-10,2,15,95,False
2020-03-11,2,16,97,False
2020-03-12,3,14,89,False
2020-03-13,2,12,81,False
2020-03-14,2,11,80,False
2020-03-15,3,12,82,False
2020-03-16,3,10,72,False
2020-03-17,3,10,67,False
2020-03-18,3,9,68,False
2020-03-19,3,9,68,False
2020-03-20,3,9,69,False
2020-03-21,3,8,73,False
2020-03-22,3,9,73,False
2020-03-23,3,7,59,False
2020-03-24,3,7,57,False
