date,covid 19,corona,coronavirus,isPartial
2020-02-25,11,48,64,False
2020-02-26,10,53,76,False
2020-02-27,11,57,84,False
2020-02-28,12,66,88,False
2020-02-29,9,51,74,False
2020-03-01,7,42,56,False
2020-03-02,10,47,68,False
2020-03-03,11,43,61,False
2020-03-04,9,45,64,False
2020-03-05,9,42,63,False
2020-03-06,9,40,62,False
2020-03-07,9,43,54,False
2020-03-08,8,38,58,False
2020-03-09,12,47,69,False
2020-03-10,9,50,66,False
2020-03-11,15,46,68,False
2020-03-12,13,60,88,False
2020-03-13,16,60,88,False
2020-03-14,13,45,77,False
2020-03-15,13,50,85,False
2020-03-16,17,57,100,False
2020-03-17,20,63,90,False
2020-03-18,17,60,93,False
2020-03-19,17,58,86,False
2020-03-20,17,56,79,False
2020-03-21,14,50,81,False
2020-03-22,17,61,94,False
2020-03-23,21,65,90,False
2020-03-24,19,66,92,False
