date,covid 19,corona,coronavirus,isPartial
2020-01-03,0,0,0,False
2020-01-04,0,0,0,False
2020-01-05,0,0,0,False
2020-01-06,0,0,0,False
2020-01-07,0,0,0,False
2020-01-08,0,0,0,False
2020-01-09,0,0,0,False
2020-01-10,0,0,0,False
2020-01-11,0,0,0,False
2020-01-12,0,0,0,False
2020-01-13,0,0,0,False
2020-01-14,0,0,0,False
2020-01-15,0,0,0,False
2020-01-16,0,0,0,False
2020-01-17,0,0,0,False
2020-01-18,0,0,0,False
2020-01-19,0,0,0,False
2020-01-20,0,0,0,False
2020-01-21,0,0,1,False
2020-01-22,0,0,1,False
2020-01-23,0,1,3,False
2020-01-24,0,1,4,False
2020-01-25,0,1,5,False
2020-01-26,0,2,6,False
2020-01-27,0,3,6,False
2020-01-28,0,3,9,False
2020-01-29,0,5,13,False
2020-01-30,0,6,13,False
2020-01-31,0,7,15,False
2020-02-01,0,5,11,False
2020-02-02,0,5,11,False
2020-02-03,0,5,9,False
2020-02-04,0,4,8,False
2020-02-05,0,4,9,False
2020-02-06,0,5,11,False
2020-02-07,0,4,9,False
2020-02-08,0,4,8,False
2020-02-09,0,3,7,False
2020-02-10,0,4,8,False
2020-02-11,0,3,7,False
2020-02-12,0,3,6,False
2020-02-13,0,3,6,False
2020-02-14,0,3,6,False
2020-02-15,0,3,5,False
2020-02-16,0,2,5,False
2020-02-17,0,3,5,False
2020-02-18,0,2,5,False
2020-02-19,0,2,4,False
2020-02-20,0,2,4,False
2020-02-21,0,2,4,False
2020-02-22,0,2,4,False
2020-02-23,0,2,5,False
2020-02-24,0,3,7,False
2020-02-25,0,3,7,False
2020-02-26,0,4,8,False
2020-02-27,0,4,10,False
2020-02-28,0,7,14,False
2020-02-29,0,5,11,False
2020-03-01,0,5,11,False
2020-03-02,0,6,13,False
2020-03-03,0,5,12,False
2020-03-04,1,6,12,False
2020-03-05,2,29,51,False
2020-03-06,2,23,38,False
2020-03-07,2,16,27,False
2020-03-08,2,13,27,False
2020-03-09,2,17,35,False
2020-03-10,2,14,29,False
2020-03-11,3,18,35,False
2020-03-12,4,25,46,False
2020-03-13,5,27,47,False
2020-03-14,5,27,49,False
2020-03-15,13,51,86,False
2020-03-16,15,60,100,False
2020-03-17,14,54,89,False
2020-03-18,15,50,84,False
2020-03-19,15,48,83,False
2020-03-20,14,42,76,False
2020-03-21,16,45,83,False
2020-03-22,21,52,92,False
2020-03-23,25,55,99,False
2020-03-24,22,47,83,False
