date,covid 19,corona,coronavirus,isPartial
2020-03-06,2,8,30,False
2020-03-07,1,8,31,False
2020-03-08,1,7,30,False
2020-03-09,2,9,38,False
2020-03-10,3,11,45,False
2020-03-11,4,14,56,False
2020-03-12,7,27,97,False
2020-03-13,7,24,88,False
2020-03-14,7,21,78,False
2020-03-15,8,20,100,False
2020-03-16,11,23,97,False
2020-03-17,11,22,86,False
2020-03-18,11,21,80,False
2020-03-19,12,20,78,False
2020-03-20,13,20,76,False
2020-03-21,12,19,74,False
2020-03-22,13,19,77,False
2020-03-23,14,17,72,False
2020-03-24,12,15,64,False
