Country,Education Index,Human development index (HDI),Life expectancy at birth,"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)","Unemployment, total (% of labour force)"
China,0.649,0.758,76.7,1016.5,155.9,1427.6,85.9,59.2,4.4
Japan,0.850,0.915,84.5,76.0,35.1,127.2,5.1,91.6,2.5
Korea (Republic of),0.862,0.906,82.8,37.2,7.4,51.2,2.1,81.5,3.8
United Kingdom,0.916,0.920,81.2,42.9,12.4,67.1,4.0,83.4,4.0
United States,0.899,0.920,78.9,214.2,51.7,327.1,19.5,82.3,3.9
Italy,0.793,0.883,83.4,38.8,13.8,60.6,2.4,70.4,10.2
Iran (Islamic Republic of),0.743,0.797,76.5,56.7,5.1,81.8,7.4,74.9,12.0
Germany,0.946,0.939,81.2,54.0,17.8,83.1,3.9,77.3,3.4
Algeria,0.675,0.759,76.7,26.8,2.7,42.2,5.0,72.6,12.2
Egypt,0.608,0.700,71.8,60.0,5.1,98.4,13.0,42.7,11.4
Burkina Faso,0.300,0.434,61.2,10.4,0.5,19.8,3.3,29.4,6.1
South Africa,0.721,0.705,63.9,37.9,3.1,57.8,5.8,66.4,27.0
Brazil,0.689,0.761,75.7,146.1,18.7,209.5,14.7,86.6,12.5
Chile,0.807,0.847,80.0,12.9,2.2,18.7,1.2,87.6,7.2
Australia,0.923,0.938,83.3,16.2,3.9,24.9,1.6,86.0,5.4
