area_name;area_code;area_group;Economic Quality;Education;Governance;Health;Investment Environment;Living Conditions;Market Access and Infrastructure;Natural Environment;Personal Freedom;Safety and Security;Social Capital
Afghanistan;AFG;Asia-Pacific;40,2;26,0;33,9;49,9;33,2;38,5;21,7;41,2;34,4;20,9;23,6
Albania;ALB;Eastern Europe;41,5;72,7;51,3;73,2;58,6;72,3;56,0;57,2;57,0;73,3;46,2
Algeria;DZA;Middle East and North Africa;38,3;61,0;42,5;72,9;38,6;77,3;42,5;49,3;34,1;76,2;41,9
Angola;AGO;Sub-Saharan Africa;34,6;25,9;34,0;50,0;23,6;42,9;26,4;51,0;34,2;62,2;40,0
Argentina;ARG;Latin America and the Caribbean;42,2;72,0;56,2;76,3;53,4;80,8;48,1;59,3;74,1;68,3;47,0
Armenia;ARM;Eastern Europe;44,3;72,3;50,1;73,7;61,3;76,0;54,1;53,0;53,9;71,5;50,9
Australia;AUS;Asia-Pacific;64,9;86,2;84,5;81,8;80,3;93,3;69,8;67,0;85,0;86,1;66,5
Austria;AUT;Western Europe;68,4;83,0;83,0;82,5;79,0;94,6;74,3;75,7;83,5;91,5;67,7
Azerbaijan;AZE;Eastern Europe;43,9;64,6;43,0;73,7;60,3;77,7;53,3;45,9;27,0;65,9;45,8
Bahrain;BHR;Middle East and North Africa;53,3;68,9;47,2;75,4;63,8;88,3;68,5;48,9;25,9;58,8;63,3
Bangladesh;BGD;Asia-Pacific;40,8;44,3;39,1;65,7;36,7;56,5;36,1;45,9;40,8;48,5;50,8
Belarus;BLR;Eastern Europe;55,2;79,8;40,6;72,5;54,2;85,1;53,2;55,4;30,7;71,4;42,4
Belgium;BEL;Western Europe;64,5;83,6;80,8;80,5;73,4;93,9;74,6;59,6;84,4;84,8;55,0
Belize;BLZ;Latin America and the Caribbean;41,4;56,3;46,8;69,7;41,8;74,1;43,9;60,7;60,5;71,6;45,2
Benin;BEN;Sub-Saharan Africa;36,1;31,2;47,3;52,5;35,9;42,8;32,2;51,2;59,5;73,2;37,3
Bolivia;BOL;Latin America and the Caribbean;39,4;57,7;40,4;66,9;45,1;68,5;37,6;63,4;57,3;71,1;46,3
Bosnia and Herzegovina;BIH;Eastern Europe;47,8;66,7;45,2;70,4;53,3;84,2;50,8;50,7;52,9;76,9;49,6
Botswana;BWA;Sub-Saharan Africa;58,5;54,1;60,2;62,1;57,2;60,8;45,7;53,5;61,0;70,2;49,8
Brazil;BRA;Latin America and the Caribbean;42,7;59,8;52,8;75,0;57,4;79,8;48,6;66,8;65,4;64,7;44,3
Bulgaria;BGR;Eastern Europe;64,1;74,8;55,0;74,0;60,6;83,8;58,9;57,0;58,9;73,5;46,1
Burkina Faso;BFA;Sub-Saharan Africa;35,6;27,0;44,1;56,1;39,8;42,4;25,0;53,7;60,7;63,1;45,9
Burundi;BDI;Sub-Saharan Africa;28,5;30,3;31,9;56,5;33,5;28,5;25,4;50,0;23,8;35,8;41,0
Cabo Verde;CPV;Sub-Saharan Africa;42,5;53,0;54,6;72,2;44,8;67,1;38,5;62,8;70,5;76,1;54,7
Cambodia;KHM;Asia-Pacific;48,6;43,6;29,5;68,9;42,8;50,3;43,3;55,9;36,1;64,3;49,7
Cameroon;CMR;Sub-Saharan Africa;40,6;42,2;32,1;46,4;37,5;48,9;28,4;52,8;36,8;37,6;44,2
Canada;CAN;North America;63,4;86,7;84,8;80,2;78,7;94,3;73,9;69,0;88,6;89,5;69,1
Central African Republic;CAF;Sub-Saharan Africa;33,2;19,1;29,8;35,7;28,3;21,2;20,9;54,1;34,4;35,2;37,0
Chad;TCD;Sub-Saharan Africa;33,3;18,6;26,6;34,9;29,9;29,8;17,8;54,9;37,1;48,0;33,6
Chile;CHL;Latin America and the Caribbean;57,5;73,9;70,9;73,1;68,0;85,6;68,8;58,9;74,5;72,5;52,4
China;CHN;Asia-Pacific;68,4;70,8;46,9;80,9;63,3;79,7;60,4;46,3;20,0;65,8;57,2
Colombia;COL;Latin America and the Caribbean;48,7;64,9;52,1;77,0;58,0;75,0;53,8;64,4;57,2;39,3;48,4
Comoros;COM;Sub-Saharan Africa;34,5;31,6;38,4;57,9;33,8;50,5;27,3;53,2;52,2;79,0;47,7
Congo;COG;Sub-Saharan Africa;27,4;40,8;32,9;53,8;34,6;45,0;26,7;56,4;37,7;51,4;38,0
Costa Rica;CRI;Latin America and the Caribbean;53,4;71,5;67,5;78,6;61,7;82,0;58,4;63,8;79,2;77,2;54,1
Croatia;HRV;Eastern Europe;58,3;73,6;59,3;75,0;61,5;89,2;67,8;64,5;63,6;84,2;44,1
Cuba;CUB;Latin America and the Caribbean;45,6;76,3;38,5;79,9;52,8;75,8;44,1;54,5;26,4;67,6;54,9
Cyprus;CYP;Western Europe;57,7;78,4;67,9;79,7;64,4;90,3;69,6;56,5;76,4;80,2;50,5
Czechia;CZE;Eastern Europe;72,5;81,8;70,3;79,8;72,7;89,9;68,7;67,2;71,7;89,1;47,1
Côte d'Ivoire;CIV;Sub-Saharan Africa;44,7;31,2;44,4;48,6;45,1;49,0;35,9;54,1;50,5;56,7;41,5
Democratic Republic of Congo;COD;Sub-Saharan Africa;30,8;31,9;25,1;48,5;28,2;28,9;18,2;53,0;32,5;33,3;38,7
Denmark;DNK;Western Europe;74,0;87,8;89,0;82,8;81,1;97,1;77,8;70,5;92,9;92,9;77,1
Djibouti;DJI;Sub-Saharan Africa;48,5;34,4;41,3;62,0;49,9;52,8;39,3;46,7;34,8;64,7;47,7
Dominican Republic;DOM;Latin America and the Caribbean;50,6;56,7;46,5;71,5;53,3;73,3;52,7;58,2;62,1;60,1;50,4
Ecuador;ECU;Latin America and the Caribbean;42,9;65,9;44,1;74,2;49,4;72,7;49,5;58,9;60,6;71,5;49,3
Egypt;EGY;Middle East and North Africa;35,0;51,1;36,1;66,2;47,1;73,4;47,4;42,8;19,1;41,3;45,5
El Salvador;SLV;Latin America and the Caribbean;44,2;50,7;49,3;71,4;52,8;71,9;46,7;43,2;58,7;59,7;48,2
Equatorial Guinea;GNQ;Sub-Saharan Africa;52,7;42,9;40,2;45,6;43,7;63,0;38,4;62,1;26,8;70,1;52,4
Eritrea;ERI;Sub-Saharan Africa;31,9;25,6;25,1;60,3;34,5;39,7;22,7;53,0;11,3;48,1;40,6
Estonia;EST;Eastern Europe;73,3;83,7;79,7;75,3;76,8;90,8;72,9;69,5;75,6;82,9;56,5
Eswatini;SWZ;Sub-Saharan Africa;41,1;41,1;38,6;52,4;48,1;54,6;35,9;48,3;29,4;68,9;44,2
Ethiopia;ETH;Sub-Saharan Africa;37,7;35,6;36,1;58,1;38,1;42,4;28,1;51,4;26,9;51,2;46,8
Finland;FIN;Western Europe;68,5;86,6;89,8;80,0;80,5;95,9;77,4;76,0;90,8;89,5;73,8
France;FRA;Western Europe;63,5;81,2;79,1;81,9;78,0;93,9;74,8;68,7;77,1;84,4;56,0
