,date,covid19,corona,coronavirus,google,isPartial,Country,index
0,2020-03-27,6.0,53.0,90.0,100.0,False,Afghanistan,
0,2020-03-23,1.0,8.0,32.0,100.0,False,Albania,
0,2020-03-21,2.0,23.0,51.0,100.0,False,Algeria,
0,2020-03-22,6.0,12.0,100.0,25.0,False,Andorra,
0,2020-03-20,1.0,11.0,100.0,24.0,False,Argentina,
0,2020-03-19,1.0,10.0,57.0,100.0,False,Armenia,
0,2020-03-10,2.0,30.0,100.0,58.0,False,Australia,
0,2020-03-08,0.0,69.0,100.0,47.0,False,Austria,
0,2020-03-26,3.0,17.0,70.0,100.0,False,Azerbaijan,
0,2020-03-10,4.0,40.0,100.0,70.0,False,Bahrain,
0,2020-04-06,2.0,52.0,100.0,41.0,False,Bangladesh,
0,2020-03-30,6.0,6.0,60.0,100.0,False,Belarus,
0,2020-03-06,1.0,58.0,100.0,77.0,False,Belgium,
0,2020-03-31,3.0,15.0,100.0,48.0,False,Bolivia,
0,2020-03-22,1.0,47.0,48.0,100.0,False,Bosnia and Herzegovina,
0,2020-03-13,1.0,63.0,100.0,50.0,False,Brazil,
0,2020-03-24,20.0,41.0,69.0,100.0,False,Brunei,
0,2020-03-20,2.0,13.0,49.0,100.0,False,Bulgaria,
0,2020-03-24,6.0,50.0,100.0,31.0,False,Burkina Faso,
0,2020-03-29,3.0,13.0,54.0,100.0,False,Cambodia,
0,2020-03-29,4.0,45.0,100.0,69.0,False,Cameroon,
0,2020-03-11,4.0,26.0,100.0,52.0,False,Canada,
0,2020-03-16,1.0,20.0,100.0,15.0,False,Chile,
0,2020-01-22,0.0,16.0,61.0,100.0,False,China,
0,2020-03-19,2.0,9.0,100.0,33.0,False,Colombia,
0,2020-03-21,4.0,12.0,100.0,27.0,False,Costa Rica,
0,2020-03-19,1.0,41.0,43.0,100.0,False,Croatia,
0,2020-03-28,4.0,4.0,100.0,11.0,False,Cuba,
0,2020-03-23,3.0,30.0,100.0,75.0,False,Cyprus,
0,2020-03-13,2.0,35.0,100.0,97.0,False,Czechia,
0,2020-03-10,1.0,100.0,50.0,35.0,False,Denmark,
0,2020-03-21,2.0,29.0,100.0,56.0,False,Dominican Republic,
0,2020-03-18,2.0,12.0,100.0,41.0,False,Ecuador,
0,2020-03-14,0.0,22.0,26.0,100.0,False,Egypt,
0,2020-03-14,2.0,100.0,95.0,79.0,False,Estonia,
0,2020-03-13,2.0,100.0,62.0,74.0,False,Finland,
0,2020-03-01,1.0,10.0,100.0,35.0,False,France,
0,2020-03-30,1.0,19.0,75.0,100.0,False,Georgia,
0,2020-03-01,0.0,88.0,100.0,40.0,False,Germany,
0,2020-03-26,4.0,45.0,100.0,16.0,False,Ghana,
0,2020-03-13,1.0,23.0,78.0,100.0,False,Greece,
0,2020-04-04,10.0,15.0,100.0,32.0,False,Guinea,
0,2020-03-29,7.0,12.0,100.0,63.0,False,Honduras,
0,2020-03-21,1.0,15.0,34.0,100.0,False,Hungary,
0,2020-03-12,4.0,47.0,100.0,94.0,False,Iceland,
0,2020-03-14,1.0,69.0,100.0,59.0,False,India,
0,2020-03-15,1.0,100.0,7.0,66.0,False,Indonesia,
0,2020-02-26,1.0,21.0,19.0,100.0,False,Iran,
0,2020-03-13,1.0,23.0,34.0,100.0,False,Iraq,
0,2020-03-14,2.0,23.0,100.0,14.0,False,Ireland,
0,2020-03-13,2.0,91.0,99.0,100.0,False,Israel,
0,2020-02-23,0.0,23.0,100.0,7.0,False,Italy,
0,2020-02-21,1.0,6.0,7.0,100.0,False,Japan,
0,2020-03-22,1.0,46.0,51.0,100.0,False,Jordan,
0,2020-03-26,2.0,3.0,37.0,100.0,False,Kazakhstan,
0,2020-04-02,4.0,100.0,98.0,27.0,False,Kenya,
0,2020-03-14,1.0,63.0,100.0,35.0,False,Kuwait,
0,2020-03-31,0.0,17.0,60.0,100.0,False,Kyrgyzstan,
0,2020-03-20,1.0,32.0,53.0,100.0,False,Latvia,
0,2020-03-15,3.0,88.0,100.0,94.0,False,Lebanon,
0,2020-03-22,3.0,79.0,90.0,100.0,False,Lithuania,
0,2020-03-17,3.0,51.0,100.0,29.0,False,Luxembourg,
0,2020-03-09,2.0,7.0,20.0,100.0,False,Malaysia,
0,2020-03-23,4.0,38.0,100.0,47.0,False,Malta,
0,2020-03-28,4.0,23.0,100.0,36.0,False,Mauritius,
0,2020-03-19,2.0,7.0,100.0,48.0,False,Mexico,
0,2020-03-23,2.0,8.0,37.0,100.0,False,Moldova,
0,2020-03-31,0.0,25.0,30.0,100.0,False,Montenegro,
0,2020-03-22,1.0,25.0,53.0,100.0,False,Morocco,
0,2020-03-06,0.0,100.0,65.0,58.0,False,Netherlands,
0,2020-03-22,7.0,30.0,100.0,25.0,False,New Zealand,
0,2020-04-03,12.0,36.0,100.0,27.0,False,Niger,
0,2020-03-29,8.0,74.0,100.0,20.0,False,Nigeria,
0,2020-03-06,1.0,87.0,61.0,100.0,False,Norway,
0,2020-03-26,3.0,42.0,100.0,40.0,False,Oman,
0,2020-03-16,1.0,63.0,100.0,92.0,False,Pakistan,
0,2020-03-19,2.0,13.0,100.0,34.0,False,Panama,
0,2020-04-05,4.0,5.0,100.0,20.0,False,Paraguay,
0,2020-03-17,1.0,9.0,100.0,20.0,False,Peru,
0,2020-03-14,8.0,29.0,58.0,100.0,False,Philippines,
0,2020-03-14,1.0,12.0,55.0,100.0,False,Poland,
0,2020-03-13,5.0,42.0,100.0,27.0,False,Portugal,
0,2020-03-11,1.0,55.0,100.0,43.0,False,Qatar,
0,2020-03-14,1.0,17.0,100.0,26.0,False,Romania,
0,2020-03-17,2.0,9.0,29.0,100.0,False,Russia,
0,2020-04-04,9.0,65.0,100.0,77.0,False,Rwanda,
0,2020-03-15,0.0,11.0,100.0,11.0,False,San Marino,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
0,2020-03-14,2.0,69.0,96.0,100.0,False,Saudi Arabia,
