country,total_cases_y,total_deaths_y,total_recoverd_y,total_cases_per_1_million_pop_y,total_tests_y,tests_per_1_million_pop_y,date_y,school_closures_y,date_y,retail_and_recreation_y,grocery_and_pharmacy_y,parks_y,transit_stations_y,workplaces_y,date_y,border_closures_y
Afghanistan,555,18,32,14,,,3/3/2020,0.5,29-Mar-20,0.4,0.2,0.1,0.3,0.3,,
Albania,433,23,197,150,"3,644","1,266",11/3/2020,1,,,,,,,"March 15 2020,",1
Algeria,"1,825",275,460,42,"3,359",77,12/3/2020,1,,,,,,,,
Andorra,601,26,71,"7,778","1,673","21,653",16/03/2020,1,,,,,,,,
Angola,19,2,2,0.6,,,24/03/2020,1,29-Mar-20,0.6,0.4,0.4,0.6,0.1,,
Anguilla,,,,,,,13/03/2020,1,,,,,,,,
Antigua and Barbuda,21,2,,214,40,408,,,29-Mar-20,0.5,0.2,0.3,0.7,0.5,,
Argentina,"1,975",83,440,44,"16,379",362,,,29-Mar-20,0.9,0.6,0.9,0.8,0.6,"March 15 2020,",1
Argentina ,,,,,,,16/03/2020,1,,,,,,,,
Armenia,977,13,173,330,"6,484","2,188",2/3/2020,1,,,,,,,,
Aruba,92, ,29,862,"1,118","10,471",16/03/2020,1,29-Mar-20,0.9,0.7,0.8,0.9,0.7,,
Australia,"6,303",56,"3,265",247,"351,380","13,780",24/03/2020,0.5,29-Mar-20,0.5,0.2,0.3,0.6,0.3,"March 20 2020,",1
Austria,"13,798",337,"6,604","1,532","140,975","15,653",16/03/2020,1,29-Mar-20,0.9,0.6,0.4,0.7,0.5,,
Azerbaijan,"1,058",11,200,104,"61,342","6,050",3/3/2020,1,,,,,,, March 23 2020,1
Bahamas,42,8,5,107,,,16/03/2020,1,,,,,,,,
Bahrain,"1,016",6,551,597,"60,425","35,511",26/02/2020,1,29-Mar-20,0.5,0.2,0.4,0.4,0.2,"18 March 2020,",1
Bangladesh,482,30,36,3,"8,313",50,17/03/2020,1,29-Mar-20,0.7,0.5,0.3,0.7,0.6,,
Barbados,67,4,11,233,736,"2,561",19/03/2020,1,29-Mar-20,0.7,0.5,0.6,0.8,0.5,,
Belarus,"2,226",23,172,236,"53,000","5,609",,,29-Mar-20,0.1,0.1,0.4,0.1,0,,
Belgium,"28,018","3,346","5,986","2,418","102,151","8,814",13/03/2020,1,29-Mar-20,0.8,0.5,0.7,0.8,0.5,"March 20 2020,",1
Belize,13,2,,33,364,915,23/03/2020,1,29-Mar-20,0.6,0.5,0.4,0.7,0.4,,
Benin,35,1,5,3,,,30/03/2020,1,29-Mar-20,0.2,0,0.1,0.1,0,,
Bermuda,48,4,25,771,354,"5,684",23/03/2020,1,,,,,,," March 20, 2020",0.5
Bhutan,5, ,2,6,"1,166","1,511",6/3/2020,0.5,,,,,,,,
Bolivia,275,20,2,24,591,51,,,29-Mar-20,0.9,0.9,0.9,0.9,0.7," March 20, 2020,",1
Bosnia and Herzegovina,935,37,139,285,"6,911","2,106",11/3/2020,1,29-Mar-20,0.8,0.5,0.2,0.6,0.5,,
Botswana,13,1,,6,"2,527","1,075",20/03/2020,1,29-Mar-20,0.1,0,0.1,0.2,0,,
Brazil,"20,022","1,075",173,94,"62,985",296,12/3/2020,0.5,29-Mar-20,0.7,0.3,0.7,0.6,0.3," March 30, 2020,",1
British Virgin Islands,,,,,,,19/03/2020,1,,,,,,,,
Brunei,,,,,,,,,,,,,,, 24 March 2020,1
