country,City,Name,no. of Airports,airports_cum
Hungary,Budapest,Budapest Liszt Ferenc International Airport,1.0,16.0
Hungary,Debrecen,Debrecen International Airport,1.0,16.0
Hungary,Kecskemet,Kecskemét Airport,1.0,16.0
Hungary,Nyirregyhaza,Nyíregyháza Airport,1.0,16.0
Hungary,Ocseny,Őcsény Airport,1.0,16.0
Hungary,Azentkilyszabadja,Szentkirályszabadja Airport,1.0,16.0
Hungary,Szolnok,Szolnok Air Base,1.0,16.0
Hungary,Pécs-Pogány,Pécs-Pogány Airport,1.0,16.0
Hungary,Győr,Győr-Pér International Airport,1.0,16.0
Hungary,Sármellék,Sármellék International Airport,1.0,16.0
Hungary,Papa,Pápa Air Base,1.0,16.0
Hungary,Budapest,Tököl Airport,1.0,16.0
Hungary,Eger,Sturgate Airfield,1.0,16.0
Hungary,Budaoers,Budaörs Airfield,1.0,16.0
Hungary,Jakabszallas,Jakabszállás Airport,1.0,16.0
Hungary,Kalocsa/Foktő,Kalocsa/Foktő Airport,1.0,16.0
Honduras,La Ceiba,Goloson International Airport,1.0,12.0
Honduras,San Pedro Sula,Ramón Villeda Morales International Airport,1.0,12.0
Honduras,Guanaja,La Laguna Airport,1.0,12.0
Honduras,Roatan,Juan Manuel Galvez International Airport,1.0,12.0
Honduras,Tela,Tela Airport,1.0,12.0
Honduras,Tegucigalpa,Toncontín International Airport,1.0,12.0
Honduras,Trujillo,Trujillo Airport,1.0,12.0
Honduras,Utila,Utila Airport,1.0,12.0
Honduras,Ahuas,Ahuas Airport,1.0,12.0
Honduras,Puerto Lempira,Puerto Lempira Airport,1.0,12.0
Honduras,Brus Laguna,Brus Laguna Airport,1.0,12.0
Honduras,Comayagua,Coronel Enrique Soto Cano Air Base,1.0,12.0
Eritrea,Assab,Assab International Airport,1.0,3.0
Eritrea,Asmara,Asmara International Airport,1.0,3.0
Eritrea,Massawa,Massawa International Airport,1.0,3.0
Mauritania,Aioun El Atrouss,Aioun el Atrouss Airport,1.0,11.0
Mauritania,Tidjikja,Tidjikja Airport,1.0,11.0
Mauritania,Kiffa,Kiffa Airport,1.0,11.0
Mauritania,Nema,Néma Airport,1.0,11.0
Mauritania,Kaedi,Kaédi Airport,1.0,11.0
Mauritania,Nouakschott,Nouakchott–Oumtounsy International Airport,1.0,11.0
Mauritania,Selibabi,Sélibaby Airport,1.0,11.0
Mauritania,Atar,Atar International Airport,1.0,11.0
Mauritania,Nouadhibou,Nouadhibou International Airport,1.0,11.0
Mauritania,Bir Moghrein,Bir Moghrein Airport,1.0,11.0
Mauritania,Zouerat,Tazadit Airport,1.0,11.0
Saint Vincent and the Grenadines,Canouan Island,Canouan Airport,1.0,5.0
Saint Vincent and the Grenadines,Mustique,Mustique Airport,1.0,5.0
Saint Vincent and the Grenadines,Kingstown,Argyle International Airport,1.0,5.0
Saint Vincent and the Grenadines,Bequia,J F Mitchell Airport,1.0,5.0
Saint Vincent and the Grenadines,Union Island,Union Island International Airport,1.0,5.0
Serbia,Belgrade,Belgrade Nikola Tesla Airport,1.0,6.0
Serbia,Nis,Nis Airport,1.0,6.0
Serbia,Pristina,Priština International Airport,1.0,6.0
Serbia,Vrsac,Vršac International Airport,1.0,6.0
Serbia,Batajnica,Batajnica Air Base,1.0,6.0
Serbia,Novi Sad,Cenej Airport,1.0,6.0
Equatorial Guinea,Bata,Bata Airport,1.0,3.0
Equatorial Guinea,Malabo,Malabo Airport,1.0,3.0
Equatorial Guinea,San Antonio de Pale,Annobón Airport,1.0,3.0
Dominican Republic,Samana,Arroyo Barril Airport,1.0,14.0
Dominican Republic,Barahona,Maria Montez International Airport,1.0,14.0
Dominican Republic,Cabo Rojo,Cabo Rojo Airport,1.0,14.0
Dominican Republic,La Romana,Casa De Campo International Airport,1.0,14.0
Dominican Republic,Punta Cana,Punta Cana International Airport,1.0,14.0
Dominican Republic,Puerto Plata,Gregorio Luperon International Airport,1.0,14.0
Dominican Republic,Santo Domingo,Las Américas International Airport,1.0,14.0
Dominican Republic,San Isidoro,San Isidro Air Base,1.0,14.0
Dominican Republic,Santiago,Cibao International Airport,1.0,14.0
Dominican Republic,Samana,Samaná El Catey International Airport,1.0,14.0
Dominican Republic,La Isabela,La Isabela International Airport,1.0,14.0
Dominican Republic,Constanza,Constanza - Expedición 14 de Junio National Airport,1.0,14.0
Dominican Republic,Santo Domingo,Herrera Airport,1.0,14.0
Dominican Republic,Montecristi,Monte Cristi Airport,1.0,14.0
Georgia,Batumi,Batumi International Airport,1.0,5.0
Georgia,Kutaisi,Kopitnari Airport,1.0,5.0
Georgia,Tbilisi,Tbilisi International Airport,1.0,5.0
Georgia,Sukhumi,Sukhumi Dranda Airport,1.0,5.0
Georgia,Mestia,Mestia Queen Tamar Airport,1.0,5.0
Spain,Fuerteventura,Fuerteventura Airport,1.0,64.0
Spain,Hierro,Hierro Airport,1.0,64.0
Spain,Santa Cruz De La Palma,La Palma Airport,1.0,64.0
Spain,Gran Canaria,Gran Canaria Airport,1.0,64.0
Spain,Arrecife,Lanzarote Airport,1.0,64.0
Spain,Tenerife,Tenerife South Airport,1.0,64.0
Spain,Tenerife,Tenerife Norte Airport,1.0,64.0
Spain,Melilla,Melilla Airport,1.0,64.0
Spain,Albacete,Albacete-Los Llanos Airport,1.0,64.0
Spain,Alicante,Alicante International Airport,1.0,64.0
Spain,Almeria,Almería International Airport,1.0,64.0
Spain,Aviles,Asturias Airport,1.0,64.0
Spain,Cordoba,Córdoba Airport,1.0,64.0
Spain,Bilbao,Bilbao Airport,1.0,64.0
Spain,Barcelona,Barcelona International Airport,1.0,64.0
Spain,Badajoz,Badajoz Airport,1.0,64.0
Spain,La Coruna,A Coruña Airport,1.0,64.0
Spain,Granada,Armilla Air Base,1.0,64.0
Spain,Gerona,Girona Airport,1.0,64.0
Spain,Granada,Federico Garcia Lorca Airport,1.0,64.0
Spain,Madrid,Getafe Air Base,1.0,64.0
Spain,Ibiza,Ibiza Airport,1.0,64.0
Spain,Jerez,Jerez Airport,1.0,64.0
Spain,Murcia,San Javier Airport,1.0,64.0
Spain,Madrid,Adolfo Suárez Madrid–Barajas Airport,1.0,64.0
Spain,Malaga,Málaga Airport,1.0,64.0
Spain,Menorca,Menorca Airport,1.0,64.0
Spain,Sevilla,Moron Air Base,1.0,64.0
Spain,Ocana,Ocaña Airport,1.0,64.0
Spain,Pamplona,Pamplona Airport,1.0,64.0
Spain,Murcia,Alcantarilla Air Base,1.0,64.0
