,country
0,Hungary
1,Honduras
2,Eritrea
3,Mauritania
4,Saint Vincent and the Grenadines
5,Serbia
6,Equatorial Guinea
7,Dominican Republic
8,Georgia
9,Spain
10,Benin
11,Fiji
12,Guinea-Bissau
13,Thailand
14,Zambia
15,Uganda
16,Vietnam
17,Venezuela
18,Moldova
19,Cote d'Ivoire
20,Mongolia
21,Holy See
22,Finland
23,Argentina
24,Bahamas
25,Lebanon
26,Suriname
27,Central African Republic
28,Uzbekistan
29,Chad
30,Japan
31,El Salvador
32,Ethiopia
33,Sudan
34,Guyana
35,Jordan
36,Saint Lucia
37,Switzerland
38,Dominica
39,Angola
40,Cambodia
41,Gambia
42,Mexico
43,Chile
44,Cameroon
45,Djibouti
46,India
47,South Africa
48,Timor-Leste
49,Bangladesh
50,Colombia
51,Bahrain
52,Saudi Arabia
53,Costa Rica
54,Togo
55,Kyrgyzstan
56,Saint Kitts and Nevis
57,Papua New Guinea
58,Maldives
59,Eswatini
60,Israel
61,Mauritius
62,Pakistan
63,Uruguay
64,Malaysia
65,Guinea
66,Grenada
67,Iran
68,Mozambique
69,New Zealand
70,Antigua and Barbuda
71,West Bank and Gaza
72,Jamaica
73,Estonia
74,Kosovo
75,Bulgaria
76,Latvia
77,Ireland
78,Cyprus
79,Morocco
80,Guatemala
81,Monaco
82,Congo (Kinshasa)
83,Paraguay
84,Cuba
85,Lithuania
86,Libya
87,Sri Lanka
88,Brazil
89,Malta
90,Belarus
91,Indonesia
92,Namibia
93,United Arab Emirates
94,Ecuador
95,Belgium
96,Niger
97,Congo (Brazzaville)
98,Poland
99,Russia
100,Liechtenstein
101,Taiwan*
102,Peru
103,Austria
104,Algeria
105,Azerbaijan
106,Egypt
107,Mali
108,Kuwait
109,Croatia
110,Nepal
111,Norway
112,Syria
113,North Macedonia
114,Nicaragua
115,Haiti
116,Sweden
117,Cabo Verde
118,Philippines
119,Iceland
120,US
121,Laos
122,Burkina Faso
123,Seychelles
124,Turkey
125,Luxembourg
126,Albania
127,Brunei
128,Romania
129,Panama
130,Afghanistan
131,Singapore
132,Germany
133,Greece
134,Trinidad and Tobago
135,Portugal
136,Bhutan
137,Liberia
138,Oman
139,Zimbabwe
140,Denmark
141,China
142,Qatar
143,Kazakhstan
144,Nigeria
145,Ukraine
146,Netherlands
147,Iraq
148,Belize
149,San Marino
150,Bosnia and Herzegovina
151,Gabon
152,Ghana
153,Slovenia
154,Madagascar
155,Montenegro
156,Barbados
157,Armenia
158,Bolivia
159,Slovakia
160,Andorra
161,Rwanda
162,Tanzania
163,Czechia
164,"Korea, South"
165,Somalia
166,France
167,Canada
168,Senegal
169,Australia
170,Diamond Princess
171,United Kingdom
172,Kenya
173,Tunisia
174,Italy
